,0,1
806,chinese,14
807,unknown,14
808,weed,14
809,reporter,14
810,atlanta,14
811,false,14
812,starting,14
813,stephawn,14
814,sexually,14
815,club,14
816,cum,14
817,results,14
818,planning,14
819,chosen,14
820,70,14
821,scuba,14
822,winter,14
823,sun,14
824,kgb,14
825,beam,14
826,rod,14
827,feature_ngram_sex_,13
828,forced,13
829,feature_ngram_state_,13
830,_share,13
831,feature_ngram_today_,13
832,_need,13
833,al,13
834,feature_ngram_executive_order,13
835,_let,13
836,feature_ngram_source_,13
837,restroom,12
838,officer,12
839,ruled,12
840,true,12
841,ruling,12
842,evening,12
843,weeks,12
844,heads,12
845,medical,12
846,hoping,12
847,investigator,12
848,young,12
849,conspiracy,12
850,charge,12
851,entering,12
852,suggested,12
853,pushed,12
854,claim,12
855,investigating,12
856,ties,12
857,involved,12
858,email,12
859,_right,12
860,takes,12
861,hampshire,12
862,waters,12
863,role,12
864,difficult,12
865,feature_ngram_night_,12
866,hear,12
867,terror,12
868,attacked,12
869,speak,12
870,blasphemy,12
871,residents,12
872,issued,12
873,mayor,12
874,citizens,12
875,idea,12
876,allow,12
877,threat,12
878,_way,12
879,resignation,12
880,happening,12
881,problems,12
882,gone,12
883,jesus,12
884,inserted,12
885,carrying,12
886,completely,12
887,contact,12
888,game,12
889,clearly,12
890,explained,12
891,culture,12
892,minority,12
893,watch,12
894,_set,12
895,thoughts,12
896,terrorist,12
897,questions,12
898,serve,12
899,follow,12
900,level,12
901,events,12
902,feature_ngram_added_,12
903,probably,12
904,removed,12
905,feature_ngram_party_,12
906,nice,12
907,send,12
908,conservatives,12
909,honestly,12
910,marriage,12
911,small,12
912,feature_ngram_years_,12
913,millions,12
914,expect,12
915,current,12
916,shows,12
917,practice,12
918,foreign,12
919,blog,12
920,middle,12
921,pain,12
922,lisa,12
923,fried,12
924,chicken,12
925,warning,12
926,makes,12
927,gets,12
928,cell,12
929,block,12
930,showing,12
931,prove,12
932,nuclear,12
933,tweet,12
934,express,12
935,fool,12
936,beliefs,12
937,present,12
938,simply,12
939,moved,12
940,nervous,12
941,multiple,12
942,died,12
943,brought,12
944,july,12
945,brothers,12
946,attempt,12
947,lawyer,12
948,emails,12
949,network,12
950,background,12
951,truth,12
952,apartment,12
953,son,12
954,rochester,12
955,helped,12
956,finds,12
957,talking,12
958,agenda,12
959,particular,12
960,church,12
961,thursday,12
962,happens,12
963,happy,12
964,developed,12
965,dowling,12
966,duncan,12
967,chairman,12
968,complete,12
